1015,16,Je suis chatouilleux La comtesse Alagazam / [enregistrement sonore] ; [interprété par] Larry Larrivée,"Larrivée, Larry",1927,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1015/1/497578.m4a
1016,17,"Je suis soldat de DeGaulle [i.e. De Gaulle]  [enregistrement sonore] / Thibault-Leaman ; [interprété par] Ludovic Huot. Amour = Amor, amor / Ruiz-Mendez ; [interprété par] Ludovic Huot","Huot, Ludovic, 1897-1968",1942,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1016/1/502779.m4a
1017,18,Je suis zozo Dans l'temps des fêtes / [enregistrement sonore] ; [interprété par] Eugène Daignault acc. Trio de la rue St. Timothée,"Daignault, Eugène, 1895-1960",1929,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1017/1/498610a.m4a
1018,19,Je t'aimais sur l'air de Broadway Rose / [enregistrement sonore] : [interprété par] Hector Pellerin. Chérie / Brisson-Bibo ; [interprété par] Hector Pellerin,"Pellerin, Hector, 1887-1953",1921,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1018/1/494918a.m4a
1019,20,"Je t'aime, c'est tout  [enregistrement sonore] / Gardeni-Aurelli-Granier ; [interprété par] le Merle rouge [i.e.] Fernand Perron. Si je n'écoutais que mon coeur / Horenz-Lattès ; [interprété par] le Merle rouge [i.e.] Fernand Perron",Merle rouge (Musicien),1936,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1019/1/495084a.m4a
1020,21,"Je t'aime I love you, from ""Little Jessie James"" / [enregistrement sonore] = Brisson-Thompson-Archer ; [interprété par] J.H. Germain. Non, non, Nora = No, no, Nora / Combis-Kahn-Fiorito-Erdman ; [interprété par] J.H. Germain","Germain, J.-H. (J.-Hervey), 1888-1961",1924,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1020/1/503336.m4a
1021,22,"Je t'aime Le régiment de Sambre et Meuse / [enregistrement sonore] ; chanté par Joseph Saucier, avec orchestre","Saucier, Joseph, 1869-1941",1920,"1 disque : analogique, 80 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1021/1/499701.m4a
1022,23,Je t'aime Pierrette Rien que toi / Deyglun-Zbriger ; [interprété par] Roméo Mousseau [enregistrement sonore] / Derfla-Dorletti ; [interprété par] Roméo Mousseau.,"Mousseau, Roméo",1929,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1022/1/502318a.m4a
1023,24,Je t'aimerai toujours I've heard that song before / [enregistrement sonore] = Styne-Cahn-Aubert ; [interprété par] André Lamarre. Pour notre bonheur = For me and my gal / Meyer-Aubert ; [interprété par] André Lamarre,"Lamarre, André",1943,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1023/1/503232a.m4a
1024,25,"Je te tiens dans mes bras Rio Rita : extrait[s] de ""Rio Rita"" / [enregistrement sonore] ; Beaudry-Tierney ; [interprété par] Jean Cartier","Tierney, Harry, 1890-1965",1929,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1024/1/497623.m4a
1025,26,"Je veux aller où tu vas ""Then I'll be happy"" / [enregistrement sonore] = Friend-Clare-Brown-Beaudry ; [interprété par] Hercule Lavoie. Si j'avais su! = ""I never knew how wonderful"" / Terriss-Burke-Beaudry ; [interprété par] Hercule Lavoie","Lavoie, Hercule",1926,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1025/1/498845a.m4a
1026,27,Je veux m'marier François Margotte / [enregistrement sonore] ; [interprété par] J.O. & Albert LaMadeleine,"LaMadeleine, J.O. (Joseph-Ovila), 1880-1973",1928,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1026/1/500778.m4a
1027,28,Je veux t'aimer toujours I'll be walkin' with my honey / [enregistrement sonore] = Kaye-Medoff-Grimaldi ; [interprété par] Lionel Parent. Symphonie / Tabet-Alstone- Bernstein ; [interprété par] Lionel Parent,"Parent, Lionel, 1905-1980",1946,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1027/1/503035.m4a
1028,29,Je vous aime et voilà tout À Parthenay / chanté par Alexander [i.e. Alexandre] Desmarteau [enregistrement sonore] / chanté par Alexandre Desmarteau.,"Desmarteau, Alexandre, 1885-1926",1921,"1 disque : analogique, 80 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1028/1/503345.m4a
1029,30,Jeanne D'Arc  [enregistrement sonore] / Bryan-Weston- Wells ; [interprété par] C. Dalberty. Marche Lorraine / Jory-Pradels-Ganne ; [interprété par] C. Dalberty,"Dalberty, Charles",1919,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1029/1/495481a.m4a
1030,31,Jeanne d'Arc au bûcher Choeur des soldats / Faust-Gounod ; [interprété par le] Quatuor Canadien [enregistrement sonore] / Bossière[sic] ; [interprété par le] Quatuor Canadien.,Quatuor Canadien,1922,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1030/1/503519.m4a
1031,32,Jeannine au temps des lilas  [enregistrement sonore] / Beaudry-Shilkret ; [interprété par] Arthur Lapierre. La valse d'autrefois / Beaudry-Thomas ; [interprété par] Arthur Lapierre,"Lapierre, Arthur",1928,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1031/1/497365a.m4a
1032,33,"Jeannine au temps des lilas sur l'air de ""Jeannine, I dream of lilac time"" / [enregistrement sonore] : Beaudry-Shilkret ; [interprété par] Georges Beauchemin. Berceuse tendre : il fait si bon près de toi / Daniderff-Ronn-Daniderff ; [interprété par] Georges Beauchemin","Beauchemin, Georges, 1891-1957",1928,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1032/1/497489a.m4a
1033,34,Jésus de Nazareth La Vierge à la crèche / Daudet-Perilhou [enregistrement sonore] / Gounod.,"Gounod, Charles, 1818-1893",1929,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1033/1/502414a.m4a
1034,35,La jeune Timire  [enregistrement sonore] / [interprété par] Eugène Daignault. Miséricorde : reel / [interprété par] Monmarquette & St-Jean,"Daignault, Eugène, 1895-1960",1928,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1034/1/498476.m4a
1035,36,Jing a bula jing jing chanson de genre / [enregistrement sonore] : Beaudry-Jérôme ; [interprété par] Hector Pellerin. Histoire de rire : chanson vécue / [interprété par] Hector Pellerin,"Pellerin, Hector, 1887-1953",1921,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1035/1/494737a.m4a
1036,37,La joie du soldat Soldier's joy ; Cotillon à huit / [enregistrement sonore] = [interprété par] Joseph Allard,"Allard, Joseph, 1873-1947",1929,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1036/1/501418.m4a
